customer_id,customer_name,segment,region,city,signup_date,customer_tenure_months,order_count,last_order_date,lifetime_revenue,lifetime_profit,customer_value_band
C00001,Customer 0001,Consumer,North,Delhi,2025-05-27,24,18,2025-11-09,414557.55,31306.68,Very High
C00002,Customer 0002,Consumer,North,Jaipur,2025-05-10,32,17,2025-09-12,223700.49,21950.34,Very High
C00003,Customer 0003,Home Office,North,Lucknow,2025-07-30,10,13,2025-09-28,229451.09,24407.53,Very High
C00004,Customer 0004,Corporate,East,Bhubaneswar,2024-07-07,40,11,2025-10-17,394205.33,39890.77,Very High
C00005,Customer 0005,Consumer,East,Patna,2026-04-28,18,16,2025-11-09,395490.25,60195.81,Very High
C00006,Customer 0006,Home Office,West,Pune,2023-06-27,18,17,2025-11-01,351277.91,31527.35,Very High
C00007,Customer 0007,Corporate,East,Bhubaneswar,2026-03-13,40,16,2025-08-29,341522.92,36462.24,Very High
C00008,Customer 0008,Consumer,East,Guwahati,2024-10-27,12,7,2025-10-16,106036.25,5138.75,High
C00009,Customer 0009,Consumer,East,Bhubaneswar,2024-06-13,22,17,2025-10-12,275378.13,32368.75,Very High
C00010,Customer 0010,Consumer,West,Ahmedabad,2025-11-24,13,20,2025-10-20,366937.6,37888.75,Very High
C00011,Customer 0011,Corporate,North,Chandigarh,2025-09-27,36,13,2025-10-19,484968.72,76055.57,Very High
C00012,Customer 0012,Corporate,South,Kochi,2025-10-02,29,20,2025-09-24,625587.42,70243.11,Very High
C00013,Customer 0013,Consumer,North,Delhi,2025-04-08,16,14,2025-07-16,208264.86,25393.42,Very High
C00014,Customer 0014,Consumer,West,Ahmedabad,2025-12-23,23,21,2025-12-13,636595.98,41680.16,Very High
C00015,Customer 0015,Consumer,East,Guwahati,2025-07-18,18,12,2025-11-09,219005.64,14453.56,Very High
C00016,Customer 0016,Consumer,West,Ahmedabad,2024-01-30,21,25,2025-12-14,490779.88,39590.86,Very High
C00017,Customer 0017,Consumer,North,Chandigarh,2025-09-18,18,12,2025-11-09,273839.08,43274.06,Very High
C00018,Customer 0018,Home Office,West,Mumbai,2024-08-29,15,15,2025-12-11,211801.57,26481.32,Very High
C00019,Customer 0019,Consumer,West,Pune,2025-12-29,9,14,2025-09-23,185658.01,12828.56,Very High
C00020,Customer 0020,Home Office,West,Mumbai,2026-02-07,19,16,2025-10-15,412924.22,35190.2,Very High
C00021,Customer 0021,Consumer,South,Kochi,2023-01-26,37,11,2025-09-27,274503.3,46600.0,Very High
C00022,Customer 0022,Consumer,West,Surat,2024-11-28,12,16,2025-09-19,319628.05,38949.21,Very High
C00023,Customer 0023,Home Office,North,Jaipur,2025-09-05,8,24,2025-11-18,513551.42,49556.64,Very High
C00024,Customer 0024,Consumer,North,Lucknow,2026-03-27,41,19,2025-12-06,423607.02,50588.03,Very High
C00025,Customer 0025,Consumer,North,Chandigarh,2026-02-26,20,17,2025-12-17,436391.86,67287.56,Very High
C00026,Customer 0026,Consumer,North,Chandigarh,2025-05-02,39,14,2025-11-03,261692.4,35343.88,Very High
C00027,Customer 0027,Consumer,South,Kochi,2025-06-25,20,13,2025-10-15,191401.17,5241.95,Very High
C00028,Customer 0028,Consumer,East,Guwahati,2023-05-04,40,15,2025-12-01,315755.32,48987.02,Very High
C00029,Customer 0029,Corporate,North,Chandigarh,2024-06-25,6,19,2025-08-22,432019.57,34065.4,Very High
C00030,Customer 0030,Consumer,South,Bengaluru,2023-06-03,11,21,2025-07-28,434173.79,28869.81,Very High
C00031,Customer 0031,Consumer,North,Lucknow,2026-05-01,31,25,2025-12-21,484318.25,45552.53,Very High
