snapshot_date,product_id,inventory_units,reorder_level,inventory_value
2023-01-01,P0001,107,29,774976.39
2023-02-01,P0001,161,66,1166085.97
2023-03-01,P0001,161,81,1166085.97
2023-04-01,P0001,81,44,586664.37
2023-05-01,P0001,123,74,890860.71
2023-06-01,P0001,80,50,579421.6
2023-07-01,P0001,82,65,593907.14
2023-08-01,P0001,121,72,876375.17
2023-09-01,P0001,127,30,919831.79
2023-10-01,P0001,59,25,427323.43
2023-11-01,P0001,152,75,1100901.04
2023-12-01,P0001,89,38,644606.53
2024-01-01,P0001,158,89,1144357.66
2024-02-01,P0001,89,44,644606.53
2024-03-01,P0001,204,69,1477525.08
2024-04-01,P0001,84,21,608392.68
2024-05-01,P0001,98,24,709791.46
2024-06-01,P0001,108,70,782219.16
2024-07-01,P0001,154,60,1115386.58
2024-08-01,P0001,182,34,1318184.14
2024-09-01,P0001,74,33,535964.98
2024-10-01,P0001,103,74,746005.31
2024-11-01,P0001,145,84,1050201.65
2024-12-01,P0001,114,21,825675.78
2025-01-01,P0001,82,48,593907.14
2025-02-01,P0001,115,32,832918.55
2025-03-01,P0001,177,53,1281970.29
2025-04-01,P0001,128,31,927074.56
2025-05-01,P0001,131,50,948802.87
2025-06-01,P0001,139,79,1006745.03
2025-07-01,P0001,110,67,796704.7
2025-08-01,P0001,125,38,905346.25
2025-09-01,P0001,66,74,478022.82
2025-10-01,P0001,167,35,1209542.59
2025-11-01,P0001,140,39,1013987.8
2025-12-01,P0001,80,74,579421.6
2023-01-01,P0002,81,27,680068.71
2023-02-01,P0002,80,53,671672.8
2023-03-01,P0002,134,25,1125051.94
2023-04-01,P0002,103,76,864778.73
2023-05-01,P0002,118,90,990717.38
2023-06-01,P0002,101,41,847986.91
2023-07-01,P0002,78,23,654880.98
2023-08-01,P0002,55,74,461775.05
2023-09-01,P0002,64,44,537338.24
2023-10-01,P0002,105,51,881570.55
2023-11-01,P0002,47,32,394607.77
2023-12-01,P0002,64,62,537338.24
2024-01-01,P0002,102,27,856382.82
2024-02-01,P0002,108,72,906758.28
2024-03-01,P0002,39,81,327440.49
2024-04-01,P0002,74,41,621297.34
2024-05-01,P0002,75,73,629693.25
2024-06-01,P0002,100,54,839591.0
2024-07-01,P0002,93,41,780819.63
2024-08-01,P0002,24,21,201501.84
2024-09-01,P0002,116,77,973925.56
2024-10-01,P0002,136,30,1141843.76
2024-11-01,P0002,70,42,587713.7
2024-12-01,P0002,150,29,1259386.5
2025-01-01,P0002,109,32,915154.19
2025-02-01,P0002,113,45,948737.83
2025-03-01,P0002,148,86,1242594.68
2025-04-01,P0002,100,79,839591.0
2025-05-01,P0002,79,35,663276.89
2025-06-01,P0002,72,40,604505.52
2025-07-01,P0002,145,77,1217406.95
2025-08-01,P0002,68,23,570921.88
2025-09-01,P0002,109,86,915154.19
2025-10-01,P0002,102,49,856382.82
2025-11-01,P0002,99,78,831195.09
2025-12-01,P0002,104,34,873174.64
2023-01-01,P0003,277,62,49940.33
2023-02-01,P0003,202,45,36418.58
2023-03-01,P0003,231,58,41646.99
2023-04-01,P0003,221,84,39844.09
2023-05-01,P0003,201,77,36238.29
2023-06-01,P0003,239,32,43089.31
2023-07-01,P0003,352,45,63462.08
2023-08-01,P0003,264,59,47596.56
2023-09-01,P0003,73,24,13161.17
2023-10-01,P0003,214,88,38582.06
2023-11-01,P0003,189,44,34074.81
2023-12-01,P0003,165,79,29747.85
2024-01-01,P0003,270,65,48678.3
2024-02-01,P0003,202,78,36418.58
2024-03-01,P0003,229,30,41286.41
2024-04-01,P0003,161,46,29026.69
2024-05-01,P0003,312,56,56250.48
2024-06-01,P0003,64,67,11538.56
2024-07-01,P0003,157,64,28305.53
2024-08-01,P0003,189,38,34074.81
2024-09-01,P0003,42,39,7572.18
2024-10-01,P0003,75,67,13521.75
2024-11-01,P0003,254,83,45793.66
2024-12-01,P0003,256,75,46154.24
2025-01-01,P0003,236,61,42548.44
2025-02-01,P0003,261,20,47055.69
2025-03-01,P0003,101,25,18209.29
2025-04-01,P0003,267,79,48137.43
2025-05-01,P0003,52,55,9375.08
2025-06-01,P0003,211,55,38041.19
2025-07-01,P0003,100,32,18029.0
2025-08-01,P0003,134,56,24158.86
2025-09-01,P0003,204,40,36779.16
2025-10-01,P0003,155,43,27944.95
2025-11-01,P0003,276,49,49760.04
2025-12-01,P0003,325,55,58594.25
2023-01-01,P0004,75,30,165376.5
2023-02-01,P0004,81,27,178606.62
2023-03-01,P0004,121,63,266807.42
2023-04-01,P0004,168,79,370443.36
2023-05-01,P0004,203,52,447619.06
2023-06-01,P0004,236,35,520384.72
2023-07-01,P0004,158,77,348393.16
2023-08-01,P0004,139,46,306497.78
2023-09-01,P0004,246,42,542434.92
2023-10-01,P0004,99,30,218296.98
2023-11-01,P0004,135,64,297677.7
2023-12-01,P0004,120,56,264602.4
2024-01-01,P0004,28,58,61740.56
2024-02-01,P0004,140,25,308702.8
2024-03-01,P0004,194,81,427773.88
2024-04-01,P0004,31,53,68355.62
2024-05-01,P0004,224,34,493924.48
2024-06-01,P0004,173,85,381468.46
2024-07-01,P0004,64,37,141121.28
2024-08-01,P0004,110,72,242552.2
2024-09-01,P0004,163,34,359418.26
2024-10-01,P0004,166,85,366033.32
2024-11-01,P0004,151,20,332958.02
2024-12-01,P0004,79,63,174196.58
2025-01-01,P0004,105,38,231527.1
2025-02-01,P0004,112,72,246962.24
2025-03-01,P0004,166,32,366033.32
2025-04-01,P0004,122,56,269012.44
2025-05-01,P0004,174,90,383673.48
2025-06-01,P0004,96,86,211681.92
2025-07-01,P0004,136,78,299882.72
2025-08-01,P0004,144,29,317522.88
2025-09-01,P0004,99,21,218296.98
2025-10-01,P0004,65,72,143326.3
2025-11-01,P0004,160,63,352803.2
2025-12-01,P0004,113,69,249167.26
2023-01-01,P0005,24,61,7326.96
2023-02-01,P0005,83,29,25339.07
2023-03-01,P0005,97,58,29613.13
2023-04-01,P0005,83,70,25339.07
2023-05-01,P0005,94,64,28697.26
2023-06-01,P0005,104,87,31750.16
2023-07-01,P0005,77,43,23507.33
2023-08-01,P0005,96,70,29307.84
2023-09-01,P0005,71,70,21675.59
2023-10-01,P0005,57,50,17401.53
2023-11-01,P0005,77,29,23507.33
2023-12-01,P0005,130,76,39687.7
2024-01-01,P0005,56,81,17096.24
2024-02-01,P0005,95,79,29002.55
2024-03-01,P0005,36,35,10990.44
2024-04-01,P0005,54,86,16485.66
2024-05-01,P0005,98,31,29918.42
2024-06-01,P0005,113,49,34497.77
2024-07-01,P0005,74,23,22591.46
2024-08-01,P0005,62,68,18927.98
2024-09-01,P0005,70,35,21370.3
2024-10-01,P0005,62,40,18927.98
2024-11-01,P0005,74,31,22591.46
2024-12-01,P0005,54,42,16485.66
2025-01-01,P0005,102,72,31139.58
2025-02-01,P0005,93,84,28391.97
2025-03-01,P0005,26,50,7937.54
2025-04-01,P0005,80,52,24423.2
2025-05-01,P0005,34,40,10379.86
2025-06-01,P0005,51,47,15569.79
2025-07-01,P0005,64,34,19538.56
2025-08-01,P0005,102,75,31139.58
2025-09-01,P0005,93,74,28391.97
2025-10-01,P0005,78,25,23812.62
2025-11-01,P0005,89,25,27170.81
2025-12-01,P0005,62,64,18927.98
2023-01-01,P0006,305,85,604128.75
2023-02-01,P0006,90,82,178267.5
2023-03-01,P0006,299,58,592244.25
2023-04-01,P0006,233,59,461514.75
2023-05-01,P0006,232,65,459534.0
2023-06-01,P0006,258,51,511033.5
2023-07-01,P0006,74,32,146575.5
2023-08-01,P0006,220,33,435765.0
2023-09-01,P0006,239,23,473399.25
2023-10-01,P0006,178,39,352573.5
2023-11-01,P0006,257,20,509052.75
2023-12-01,P0006,195,46,386246.25
2024-01-01,P0006,128,71,253536.0
2024-02-01,P0006,216,70,427842.0
2024-03-01,P0006,164,84,324843.0
2024-04-01,P0006,144,55,285228.0
2024-05-01,P0006,231,20,457553.25
2024-06-01,P0006,158,81,312958.5
2024-07-01,P0006,212,59,419919.0
2024-08-01,P0006,269,35,532821.75
2024-09-01,P0006,326,50,645724.5
2024-10-01,P0006,241,85,477360.75
2024-11-01,P0006,176,76,348612.0
2024-12-01,P0006,229,77,453591.75
2025-01-01,P0006,269,51,532821.75
2025-02-01,P0006,210,35,415957.5
2025-03-01,P0006,259,87,513014.25
2025-04-01,P0006,196,81,388227.0
2025-05-01,P0006,161,89,318900.75
2025-06-01,P0006,210,76,415957.5
2025-07-01,P0006,261,88,516975.75
2025-08-01,P0006,349,28,691281.75
2025-09-01,P0006,234,29,463495.5
2025-10-01,P0006,303,33,600167.25
2025-11-01,P0006,278,47,550648.5
2025-12-01,P0006,237,43,469437.75
2023-01-01,P0007,192,90,2170809.6
2023-02-01,P0007,188,65,2125584.4
2023-03-01,P0007,101,90,1141936.3
2023-04-01,P0007,24,43,271351.2
2023-05-01,P0007,96,29,1085404.8
2023-06-01,P0007,177,24,2001215.1
2023-07-01,P0007,98,74,1108017.4
2023-08-01,P0007,189,40,2136890.7
2023-09-01,P0007,150,72,1695945.0
2023-10-01,P0007,131,30,1481125.3
2023-11-01,P0007,133,36,1503737.9
2023-12-01,P0007,27,69,305270.1
