campaign_id,campaign_name,start_date,end_date,region,channel,marketing_spend,attributed_revenue,roi
MKT0001,Affiliate Campaign 001,2024-12-18,2025-01-31,North,Affiliate,31578.44,142402.57,3.5095
MKT0002,Social Campaign 002,2023-10-02,2023-10-25,East,Social,87715.68,118731.08,0.3536
MKT0003,Email Campaign 003,2023-06-21,2023-07-16,East,Email,28062.14,137032.7,3.8832
MKT0004,Display Campaign 004,2024-01-23,2024-01-30,North,Display,17756.38,18206.13,0.0253
MKT0005,Affiliate Campaign 005,2023-08-30,2023-10-09,North,Affiliate,16126.05,142950.66,7.8646
MKT0006,Email Campaign 006,2024-02-25,2024-03-23,East,Email,65769.17,130884.76,0.9901
MKT0007,Display Campaign 007,2023-08-07,2023-08-23,East,Display,19297.31,88971.24,3.6106
MKT0008,Display Campaign 008,2024-06-03,2024-06-26,East,Display,138775.97,168281.07,0.2126
MKT0009,Social Campaign 009,2025-01-18,2025-02-11,East,Social,11461.47,267604.54,22.3482
MKT0010,Social Campaign 010,2025-04-26,2025-06-07,East,Social,133612.17,119980.78,-0.102
MKT0011,Email Campaign 011,2025-01-28,2025-03-11,East,Email,50876.75,68315.32,0.3428
MKT0012,Affiliate Campaign 012,2024-09-20,2024-11-02,West,Affiliate,41653.33,365258.38,7.769
MKT0013,Affiliate Campaign 013,2023-10-10,2023-10-24,South,Affiliate,31126.12,53200.91,0.7092
MKT0014,Display Campaign 014,2023-11-28,2023-12-11,South,Display,57494.15,91028.01,0.5833
MKT0015,Social Campaign 015,2025-03-31,2025-04-28,North,Social,43283.96,211228.12,3.8801
MKT0016,Social Campaign 016,2025-03-07,2025-03-14,North,Social,90866.46,65969.52,-0.274
MKT0017,Search Campaign 017,2025-08-23,2025-10-07,East,Search,47774.53,359469.26,6.5243
MKT0018,Email Campaign 018,2023-05-12,2023-06-04,South,Email,48907.99,101968.05,1.0849
MKT0019,Affiliate Campaign 019,2023-06-13,2023-07-28,North,Affiliate,35019.21,123602.0,2.5295
MKT0020,Display Campaign 020,2025-03-31,2025-05-10,West,Display,42744.05,135777.41,2.1765
MKT0021,Affiliate Campaign 021,2023-04-28,2023-05-16,East,Affiliate,54180.22,90277.88,0.6663
MKT0022,Social Campaign 022,2023-01-22,2023-02-10,West,Social,14594.36,13321.79,-0.0872
MKT0023,Display Campaign 023,2023-03-10,2023-04-24,South,Display,18465.87,282493.74,14.2982
MKT0024,Social Campaign 024,2023-12-14,2023-12-23,West,Social,71906.48,32282.13,-0.5511
MKT0025,Email Campaign 025,2023-01-01,2023-01-18,North,Email,49566.11,86836.49,0.7519
MKT0026,Affiliate Campaign 026,2025-03-29,2025-04-27,East,Affiliate,39356.28,104794.78,1.6627
MKT0027,Search Campaign 027,2024-02-15,2024-03-26,North,Search,44890.53,167764.29,2.7372
MKT0028,Display Campaign 028,2023-07-04,2023-08-15,West,Display,55599.42,98723.79,0.7756
MKT0029,Social Campaign 029,2024-12-13,2025-01-11,West,Social,31230.68,124374.51,2.9824
MKT0030,Display Campaign 030,2024-02-03,2024-03-10,East,Display,26744.98,235160.25,7.7927
MKT0031,Affiliate Campaign 031,2023-01-10,2023-02-02,South,Affiliate,50377.47,87880.14,0.7444
MKT0032,Display Campaign 032,2025-11-02,2025-11-15,North,Display,23483.6,40792.57,0.7371
MKT0033,Display Campaign 033,2024-08-25,2024-09-22,North,Display,57835.86,52365.88,-0.0946
MKT0034,Affiliate Campaign 034,2024-06-11,2024-07-22,West,Affiliate,14666.49,174778.93,10.9169
MKT0035,Social Campaign 035,2025-02-11,2025-03-26,East,Social,86591.0,74088.43,-0.1444
MKT0036,Display Campaign 036,2024-11-26,2025-01-01,East,Display,60306.09,114411.14,0.8972
MKT0037,Email Campaign 037,2023-02-26,2023-04-04,North,Email,52387.29,290133.23,4.5382
MKT0038,Social Campaign 038,2023-05-19,2023-06-19,South,Social,84014.87,89920.45,0.0703
MKT0039,Display Campaign 039,2024-10-08,2024-11-10,West,Display,130948.37,97525.92,-0.2552
MKT0040,Email Campaign 040,2023-01-20,2023-02-12,South,Email,85762.79,132682.56,0.5471
MKT0041,Search Campaign 041,2023-07-10,2023-08-11,West,Search,13405.65,81108.68,5.0503
MKT0042,Email Campaign 042,2024-01-01,2024-02-07,West,Email,19308.0,179045.85,8.2731
MKT0043,Social Campaign 043,2024-03-23,2024-05-05,West,Social,29550.85,116420.4,2.9397
MKT0044,Social Campaign 044,2024-01-25,2024-03-03,South,Social,45114.51,41973.72,-0.0696
MKT0045,Social Campaign 045,2024-05-10,2024-06-02,South,Social,62098.58,71614.3,0.1532
MKT0046,Social Campaign 046,2024-02-20,2024-03-13,West,Social,27674.5,65147.38,1.3541
MKT0047,Affiliate Campaign 047,2023-08-07,2023-08-21,North,Affiliate,50081.07,64014.79,0.2782
MKT0048,Affiliate Campaign 048,2023-01-14,2023-02-24,North,Affiliate,27146.44,170413.74,5.2776
MKT0049,Display Campaign 049,2025-01-30,2025-02-26,East,Display,29807.44,88186.55,1.9585
MKT0050,Display Campaign 050,2024-07-16,2024-08-23,South,Display,17777.17,156530.55,7.8051
MKT0051,Display Campaign 051,2024-07-27,2024-08-28,South,Display,24340.54,212644.54,7.7362
MKT0052,Affiliate Campaign 052,2023-09-20,2023-09-30,East,Affiliate,18423.92,72016.19,2.9088
MKT0053,Affiliate Campaign 053,2023-03-08,2023-04-16,West,Affiliate,23521.79,130946.9,4.567
MKT0054,Display Campaign 054,2023-12-24,2024-01-29,North,Display,87980.21,96303.68,0.0946
MKT0055,Search Campaign 055,2025-07-31,2025-08-27,North,Search,23930.06,17083.07,-0.2861
MKT0056,Email Campaign 056,2024-03-07,2024-04-07,North,Email,245499.05,92394.02,-0.6236
MKT0057,Display Campaign 057,2025-01-10,2025-02-02,South,Display,61123.8,90344.87,0.4781
MKT0058,Affiliate Campaign 058,2024-06-22,2024-07-14,West,Affiliate,50018.26,210316.88,3.2048
MKT0059,Affiliate Campaign 059,2024-12-03,2025-01-02,South,Affiliate,25388.9,229711.25,8.0477
MKT0060,Email Campaign 060,2025-05-18,2025-06-07,East,Email,69926.6,105180.58,0.5042
