order_id,product_id,quantity,unit_price,discount_pct,gross_sales,discount_amount,net_sales,product_cost,shipping_cost,fulfillment_cost,gross_profit_before_marketing,profit,profit_margin_pct
O000001,P0063,2,5367.44,5.32,10734.88,571.1,10163.78,6389.24,812.92,546.42,2961.620000000001,2415.2,23.76
O000001,P0011,1,10003.14,6.03,10003.14,603.19,9399.95,6245.51,176.77,116.32,2977.6700000000005,2861.35,30.44
O000001,P0106,2,369.52,22.35,739.04,165.18,573.86,468.28,689.98,543.02,-584.4,-1127.42,-196.46
O000002,P0003,2,216.76,20.96,433.52,90.87,342.65,360.58,217.22,169.66,-235.15,-404.81,-118.14
O000002,P0087,3,1769.45,3.44,5308.35,182.61,5125.74,3379.2,103.2,89.61,1643.34,1553.73,30.31
O000003,P0067,5,311.59,28.44,1557.95,443.08,1114.87,1180.6,88.8,55.31,-154.53000000000003,-209.84,-18.82
O000003,P0101,1,4618.3,14.95,4618.3,690.44,3927.86,3213.66,130.11,85.74,584.0900000000003,498.35,12.69
O000003,P0062,2,583.23,9.41,1166.46,109.76,1056.7,775.04,178.51,143.32,103.15000000000009,-40.17,-3.8
O000004,P0002,2,12946.32,14.64,25892.64,3790.68,22101.96,16791.82,1008.95,791.69,4301.19,3509.5,15.88
O000004,P0137,4,223.97,9.61,895.88,86.09,809.79,611.4,166.85,136.86,31.539999999999992,-105.32,-13.01
O000004,P0041,2,10224.7,24.29,20449.4,4967.16,15482.24,17065.66,328.26,248.89,-1911.68,-2160.57,-13.96
O000005,P0093,4,203.4,10.29,813.6,83.72,729.88,539.68,248.29,179.88,-58.08999999999995,-237.97,-32.6
O000005,P0003,1,216.76,15.94,216.76,34.55,182.21,180.29,530.76,414.88,-528.8399999999999,-943.72,-517.93
O000006,P0083,4,12868.65,12.16,51474.6,6259.31,45215.29,40427.12,470.57,423.19,4317.5999999999985,3894.41,8.61
O000007,P0007,3,15044.28,7.53,45132.84,3398.5,41734.34,33918.9,775.62,595.7,7039.819999999995,6444.12,15.44
O000007,P0086,1,3194.84,20.84,3194.84,665.8,2529.04,1951.51,321.54,241.03,255.98999999999995,14.96,0.59
O000007,P0013,2,4904.4,22.41,9808.8,2198.15,7610.65,5726.8,424.77,320.48,1459.0799999999995,1138.6,14.96
O000007,P0112,3,6199.85,8.31,18599.55,1545.62,17053.93,11859.27,898.69,783.47,4295.969999999999,3512.5,20.6
O000008,P0111,2,3837.79,29.43,7675.58,2258.92,5416.66,5649.92,74.11,64.19,-307.37000000000023,-371.56,-6.86
O000008,P0132,2,294.93,0.99,589.86,5.84,584.02,423.36,672.96,431.16,-512.3000000000001,-943.46,-161.55
O000009,P0003,6,216.76,30.27,1300.56,393.68,906.88,1081.74,382.92,267.11,-557.78,-824.89,-90.96
