order_id,order_date,customer_id,region,city,segment,order_status,payment_method
O000001,2025-01-17,C00548,East,Bhubaneswar,Consumer,Completed,Credit Card
O000002,2023-07-24,C00538,West,Pune,Home Office,Completed,Credit Card
O000003,2023-10-26,C00364,West,Ahmedabad,Consumer,Completed,Wallet
O000004,2024-10-08,C00432,South,Kochi,Home Office,Completed,UPI
O000005,2025-07-10,C00120,East,Kolkata,Corporate,Completed,Debit Card
O000006,2024-12-05,C00040,North,Chandigarh,Consumer,Completed,Credit Card
O000007,2023-12-24,C00170,East,Bhubaneswar,Consumer,Completed,Debit Card
O000008,2025-05-13,C00210,North,Chandigarh,Consumer,Completed,Credit Card
O000009,2024-12-04,C00748,North,Delhi,Consumer,Completed,Net Banking
O000010,2024-07-09,C00492,South,Kochi,Consumer,Completed,Net Banking
O000011,2025-04-27,C00301,North,Lucknow,Corporate,Completed,Credit Card
O000012,2024-05-30,C00242,West,Pune,Corporate,Completed,Net Banking
O000013,2023-04-21,C00662,West,Surat,Home Office,Completed,UPI
O000014,2023-08-01,C00725,East,Bhubaneswar,Consumer,Completed,Net Banking
O000015,2024-09-25,C00246,East,Guwahati,Consumer,Completed,Credit Card
O000016,2023-09-26,C00002,North,Jaipur,Consumer,Completed,Debit Card
O000017,2025-09-02,C00605,East,Patna,Consumer,Completed,Credit Card
O000018,2023-12-29,C00001,North,Delhi,Consumer,Completed,Wallet
O000019,2024-09-26,C00129,East,Kolkata,Consumer,Completed,Net Banking
O000020,2024-06-16,C00397,South,Bengaluru,Consumer,Completed,Credit Card
O000021,2024-12-05,C00473,East,Bhubaneswar,Consumer,Completed,Net Banking
O000022,2024-09-05,C00629,North,Delhi,Home Office,Completed,Credit Card
O000023,2023-01-15,C00364,West,Ahmedabad,Consumer,Completed,Credit Card
O000024,2023-12-01,C00420,West,Ahmedabad,Home Office,Completed,Wallet
O000025,2024-07-10,C00026,North,Chandigarh,Consumer,Completed,Net Banking
O000026,2024-01-21,C00202,East,Guwahati,Home Office,Completed,Debit Card
O000027,2025-10-04,C00741,East,Kolkata,Home Office,Completed,UPI
O000028,2024-07-31,C00517,North,Jaipur,Home Office,Completed,Credit Card
O000029,2023-07-04,C00354,North,Chandigarh,Home Office,Completed,Debit Card
O000030,2025-10-17,C00670,North,Jaipur,Consumer,Completed,UPI
O000031,2023-09-07,C00253,South,Chennai,Corporate,Completed,Credit Card
O000032,2025-08-01,C00260,East,Bhubaneswar,Home Office,Completed,Net Banking
O000033,2024-10-01,C00405,South,Chennai,Home Office,Completed,Credit Card
O000034,2023-08-20,C00200,West,Mumbai,Home Office,Completed,Debit Card
O000035,2023-09-03,C00261,North,Chandigarh,Consumer,Completed,Wallet
O000036,2025-08-31,C00360,West,Surat,Consumer,Completed,Net Banking
O000037,2023-07-07,C00414,East,Bhubaneswar,Consumer,Completed,UPI
