product_id,product_name,category,subcategory,unit_price,unit_cost,supplier_lead_days
P0001,Laptops 001,Electronics,Laptops,11190.99,7242.77,10
P0002,Desks 002,Furniture,Desks,12946.32,8395.91,5
P0003,Mice 003,Accessories,Mice,216.76,180.29,5
P0004,Desks 004,Furniture,Desks,3111.76,2205.02,3
P0005,Cables 005,Accessories,Cables,466.92,305.29,16
P0006,Tables 006,Furniture,Tables,2884.06,1980.75,3
P0007,Tables 007,Furniture,Tables,15044.28,11306.3,7
P0008,Storage 008,Furniture,Storage,6092.87,4956.09,15
P0009,Audio 009,Electronics,Audio,13095.23,8114.48,11
P0010,Cameras 010,Electronics,Cameras,5075.1,3555.52,15
P0011,Audio 011,Electronics,Audio,10003.14,6245.51,14
P0012,Cables 012,Accessories,Cables,1254.01,823.65,4
P0013,Storage 013,Furniture,Storage,4904.4,2863.4,10
P0014,Cameras 014,Electronics,Cameras,19566.14,15021.45,14
P0015,Storage 015,Furniture,Storage,12656.42,9462.31,11
P0016,Monitors 016,Electronics,Monitors,13825.04,9693.06,10
P0017,Tables 017,Furniture,Tables,6610.48,4900.62,10
P0018,Paper 018,Office Supplies,Paper,358.1,279.48,4
P0019,Printing 019,Office Supplies,Printing,203.14,156.5,9
P0020,Keyboards 020,Accessories,Keyboards,571.07,448.13,18
P0021,Small Appliances 021,Appliances,Small Appliances,2035.78,1634.43,7
P0022,Storage 022,Furniture,Storage,15327.47,9898.12,16
P0023,Mice 023,Accessories,Mice,586.97,437.81,7
P0024,Mice 024,Accessories,Mice,1084.37,885.24,4
P0025,Monitors 025,Electronics,Monitors,13550.39,9171.77,16
P0026,Bags 026,Accessories,Bags,479.5,354.81,17
P0027,Keyboards 027,Accessories,Keyboards,365.91,214.98,3
P0028,Audio 028,Electronics,Audio,22191.34,14206.1,13
P0029,Audio 029,Electronics,Audio,9394.21,6829.22,17
P0030,Audio 030,Electronics,Audio,13469.52,7910.77,8
P0031,Bags 031,Accessories,Bags,804.72,493.83,12
P0032,Cables 032,Accessories,Cables,1019.19,815.62,8
P0033,Bags 033,Accessories,Bags,1244.13,851.33,18
P0034,Laptops 034,Electronics,Laptops,10596.8,6341.49,12
P0035,Chairs 035,Furniture,Chairs,3467.9,2695.85,5
P0036,Cameras 036,Electronics,Cameras,13872.57,8709.67,7
P0037,Tables 037,Furniture,Tables,3389.93,2013.01,8
P0038,Printing 038,Office Supplies,Printing,287.13,169.2,9
P0039,Printing 039,Office Supplies,Printing,336.22,195.43,14
P0040,Small Appliances 040,Appliances,Small Appliances,3411.56,2758.38,10
P0041,Audio 041,Electronics,Audio,10224.7,8532.83,10
P0042,Cables 042,Accessories,Cables,8137.8,6820.54,4
P0043,Chairs 043,Furniture,Chairs,10143.22,6132.5,13
P0044,Monitors 044,Electronics,Monitors,13270.91,10186.7,18
P0045,Desks 045,Furniture,Desks,1944.97,1267.98,18
P0046,Tables 046,Furniture,Tables,5627.13,3545.38,9
P0047,Laptops 047,Electronics,Laptops,5040.51,3370.41,14
P0048,Small Appliances 048,Appliances,Small Appliances,2214.82,1591.51,4
P0049,Laptops 049,Electronics,Laptops,4840.93,3559.63,13
P0050,Monitors 050,Electronics,Monitors,6519.64,5151.73,17
P0051,Tables 051,Furniture,Tables,8998.6,7129.53,17
P0052,Chairs 052,Furniture,Chairs,10903.09,7902.41,6
