return_id,order_id,product_id,return_date,return_reason,refund_amount
R00001,O000003,P0101,2023-11-09,Customer Changed Mind,3927.86
R00002,O000103,P0008,2026-01-14,Customer Changed Mind,3960.37
R00003,O000192,P0120,2024-01-27,Quality Issue,323.76
R00004,O000197,P0048,2025-07-14,Customer Changed Mind,1821.69
R00005,O000200,P0070,2023-02-10,Customer Changed Mind,254.23
R00006,O000201,P0110,2024-04-26,Quality Issue,10059.19
R00007,O000216,P0082,2023-05-07,Quality Issue,2407.91
R00008,O000245,P0075,2024-07-25,Customer Changed Mind,2877.01
R00009,O000246,P0001,2024-12-06,Quality Issue,28869.4
R00010,O000294,P0038,2026-01-09,Size/Specification,1030.11
R00011,O000309,P0105,2025-10-11,Size/Specification,7906.62
R00012,O000345,P0003,2026-01-14,Size/Specification,758.05
R00013,O000352,P0123,2026-02-01,Late Delivery,24199.57
R00014,O000366,P0105,2024-08-20,Damaged,3944.96
R00015,O000373,P0005,2025-02-02,Quality Issue,1598.73
R00016,O000391,P0020,2024-09-02,Quality Issue,507.8
R00017,O000451,P0020,2025-09-21,Customer Changed Mind,1475.93
R00018,O000465,P0068,2023-08-28,Late Delivery,21530.56
R00019,O000470,P0032,2024-06-29,Size/Specification,3938.97
R00020,O000497,P0110,2023-05-20,Size/Specification,3694.3
R00021,O000503,P0019,2025-06-15,Quality Issue,581.57
R00022,O000535,P0134,2024-07-01,Late Delivery,7131.76
R00023,O000537,P0064,2025-04-14,Late Delivery,871.68
R00024,O000579,P0027,2024-10-07,Customer Changed Mind,668.3
R00025,O000592,P0017,2023-06-11,Damaged,4885.14
R00026,O000635,P0018,2025-03-17,Late Delivery,605.26
R00027,O000642,P0099,2024-01-07,Quality Issue,914.34
R00028,O000649,P0068,2024-11-23,Customer Changed Mind,7038.89
R00029,O000670,P0077,2025-04-22,Late Delivery,3192.37
R00030,O000683,P0126,2024-11-29,Size/Specification,14951.04
R00031,O000695,P0001,2023-11-24,Size/Specification,19801.34
R00032,O000711,P0028,2024-02-05,Customer Changed Mind,17673.18
R00033,O000728,P0076,2023-07-15,Customer Changed Mind,284.56
R00034,O000752,P0012,2023-09-09,Size/Specification,3391.09
R00035,O000782,P0055,2023-09-13,Damaged,3152.67
R00036,O000807,P0025,2024-05-26,Quality Issue,23710.47
R00037,O000819,P0092,2024-04-01,Size/Specification,316.63
R00038,O000833,P0035,2025-05-13,Size/Specification,3239.02
R00039,O000838,P0025,2024-08-01,Size/Specification,21607.45
R00040,O000879,P0011,2023-09-12,Late Delivery,30249.5
R00041,O000907,P0012,2023-04-16,Late Delivery,2296.84
R00042,O000930,P0113,2024-05-13,Late Delivery,23131.6
R00043,O000964,P0096,2023-06-01,Late Delivery,291.93
R00044,O000975,P0007,2024-12-31,Damaged,43562.22
R00045,O001006,P0045,2024-12-16,Damaged,1585.73
R00046,O001022,P0099,2024-10-31,Quality Issue,297.95
R00047,O001051,P0094,2025-12-23,Late Delivery,27834.39
R00048,O001096,P0121,2023-06-13,Damaged,11045.04
R00049,O001136,P0013,2024-04-08,Size/Specification,16674.96
R00050,O001274,P0014,2025-04-10,Quality Issue,35238.62
